# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
53            	smoothSolver	6.104100e-04	4.597770e-05	8	1.396210e-02	1.159130e-03	7	1.215800e-02	9.957760e-04	7	false	GAMG	5.785990e-03	2.794810e-05	4	true
54            	smoothSolver	5.890040e-04	5.844390e-05	7	1.348070e-02	1.115530e-03	7	1.181370e-02	9.765120e-04	7	false	GAMG	5.569800e-03	2.594310e-05	4	true
55            	smoothSolver	5.682200e-04	5.639700e-05	7	1.304270e-02	1.074870e-03	7	1.147230e-02	9.572120e-04	7	false	GAMG	5.372380e-03	2.445490e-05	4	true
56            	smoothSolver	5.510490e-04	5.451880e-05	7	1.267990e-02	1.043180e-03	7	1.115120e-02	9.383470e-04	7	false	GAMG	5.177270e-03	2.325960e-05	4	true
57            	smoothSolver	5.351350e-04	5.273470e-05	7	1.234210e-02	1.019670e-03	7	1.083340e-02	9.184080e-04	7	false	GAMG	5.016540e-03	2.240700e-05	4	true
58            	smoothSolver	5.225030e-04	5.103110e-05	7	1.206030e-02	1.005570e-03	7	1.050590e-02	8.939740e-04	7	false	GAMG	4.875860e-03	2.190230e-05	4	true
59            	smoothSolver	5.106010e-04	4.993990e-05	7	1.184160e-02	9.946590e-04	7	1.021410e-02	8.689700e-04	7	false	GAMG	4.761820e-03	2.137750e-05	4	true
60            	smoothSolver	4.995630e-04	4.936300e-05	7	1.163730e-02	9.789880e-04	7	9.936060e-03	8.450820e-04	7	false	GAMG	4.651190e-03	2.078660e-05	4	true
61            	smoothSolver	4.883980e-04	3.708890e-05	8	1.143600e-02	9.662790e-04	7	9.678150e-03	8.236950e-04	7	false	GAMG	4.536820e-03	2.001110e-05	4	true
62            	smoothSolver	4.767120e-04	3.646290e-05	8	1.123880e-02	9.542940e-04	7	9.444680e-03	8.035270e-04	7	false	GAMG	4.417010e-03	1.940600e-05	4	true
63            	smoothSolver	4.636280e-04	3.547580e-05	8	1.098060e-02	9.346320e-04	7	9.181860e-03	7.819560e-04	7	false	GAMG	4.298680e-03	1.864630e-05	4	true
64            	smoothSolver	4.527190e-04	3.449210e-05	8	1.068270e-02	9.046710e-04	7	8.899420e-03	7.569720e-04	7	false	GAMG	4.173000e-03	1.775600e-05	4	true
65            	smoothSolver	4.398800e-04	3.354430e-05	8	1.034560e-02	8.740490e-04	7	8.602770e-03	7.324960e-04	7	false	GAMG	4.056510e-03	1.723440e-05	4	true
66            	smoothSolver	4.280730e-04	3.267410e-05	8	1.000460e-02	8.411800e-04	7	8.332060e-03	7.077880e-04	7	false	GAMG	3.936940e-03	1.679970e-05	4	true
67            	smoothSolver	4.147070e-04	3.171080e-05	8	9.639980e-03	8.102730e-04	7	8.031620e-03	6.817190e-04	7	false	GAMG	3.827870e-03	1.648830e-05	4	true
68            	smoothSolver	4.005500e-04	3.054250e-05	8	9.286820e-03	7.792300e-04	7	7.726730e-03	6.490860e-04	7	false	GAMG	3.715090e-03	1.570820e-05	4	true
69            	smoothSolver	3.840370e-04	2.902150e-05	8	8.929980e-03	7.458300e-04	7	7.392880e-03	6.103460e-04	7	false	GAMG	3.617010e-03	1.508750e-05	4	true
70            	smoothSolver	3.690390e-04	3.638310e-05	7	8.643740e-03	7.182410e-04	7	7.097290e-03	5.694170e-04	7	false	GAMG	3.521760e-03	1.430900e-05	4	true
71            	smoothSolver	3.565600e-04	3.488770e-05	7	8.400660e-03	6.971750e-04	7	6.861100e-03	5.401230e-04	7	false	GAMG	3.445600e-03	1.393170e-05	4	true
72            	smoothSolver	3.491110e-04	3.411170e-05	7	8.276820e-03	6.850530e-04	7	6.719940e-03	5.318300e-04	7	false	GAMG	3.368250e-03	1.387260e-05	4	true
73            	smoothSolver	3.439670e-04	3.400570e-05	7	8.234320e-03	6.841980e-04	7	6.645680e-03	5.385190e-04	7	false	GAMG	3.319110e-03	1.411880e-05	4	true
74            	smoothSolver	3.420570e-04	3.416980e-05	7	8.271320e-03	6.912620e-04	7	6.635030e-03	5.505090e-04	7	false	GAMG	3.278340e-03	1.426370e-05	4	true
75            	smoothSolver	3.402690e-04	2.589630e-05	8	8.271870e-03	6.966620e-04	7	6.618410e-03	5.560240e-04	7	false	GAMG	3.264300e-03	1.430290e-05	4	true
76            	smoothSolver	3.390680e-04	2.570800e-05	8	8.215750e-03	6.959840e-04	7	6.579320e-03	5.546660e-04	7	false	GAMG	3.243200e-03	1.433750e-05	4	true
77            	smoothSolver	3.364540e-04	2.529670e-05	8	8.050650e-03	6.848940e-04	7	6.482690e-03	5.447650e-04	7	false	GAMG	3.222280e-03	1.413580e-05	4	true
78            	smoothSolver	3.348600e-04	2.526590e-05	8	7.870920e-03	6.723710e-04	7	6.386680e-03	5.345320e-04	7	false	GAMG	3.193010e-03	1.395780e-05	4	true
79            	smoothSolver	3.334040e-04	2.577710e-05	8	7.711350e-03	6.649480e-04	7	6.329090e-03	5.296450e-04	7	false	GAMG	3.166690e-03	1.430240e-05	4	true
80            	smoothSolver	3.342200e-04	2.674110e-05	8	7.689390e-03	6.734050e-04	7	6.328250e-03	5.398550e-04	7	false	GAMG	3.145570e-03	1.465970e-05	4	true
81            	smoothSolver	3.375420e-04	2.781830e-05	8	7.695390e-03	6.881110e-04	7	6.362600e-03	5.562810e-04	7	false	GAMG	3.144150e-03	1.493880e-05	4	true
82            	smoothSolver	3.438920e-04	2.860520e-05	8	7.726430e-03	6.924760e-04	7	6.404490e-03	5.691740e-04	7	false	GAMG	3.135700e-03	1.474630e-05	4	true
83            	smoothSolver	3.459910e-04	2.895300e-05	8	7.666140e-03	6.887610e-04	7	6.369420e-03	5.662170e-04	7	false	GAMG	3.120320e-03	1.454460e-05	4	true
84            	smoothSolver	3.479490e-04	2.906450e-05	8	7.609150e-03	6.769480e-04	7	6.299290e-03	5.552800e-04	7	false	GAMG	3.088480e-03	1.427430e-05	4	true
85            	smoothSolver	3.491990e-04	2.934250e-05	8	7.548370e-03	6.660130e-04	7	6.225650e-03	5.438050e-04	7	false	GAMG	3.058950e-03	1.408510e-05	4	true
86            	smoothSolver	3.497040e-04	2.956420e-05	8	7.503450e-03	6.592490e-04	7	6.200200e-03	5.385410e-04	7	false	GAMG	3.016810e-03	1.399000e-05	4	true
87            	smoothSolver	3.485240e-04	2.941890e-05	8	7.473900e-03	6.577840e-04	7	6.183690e-03	5.383270e-04	7	false	GAMG	2.982870e-03	1.396770e-05	4	true
88            	smoothSolver	3.459870e-04	2.874250e-05	8	7.452280e-03	6.535730e-04	7	6.159830e-03	5.387110e-04	7	false	GAMG	2.940970e-03	1.361810e-05	4	true
89            	smoothSolver	3.407970e-04	2.773130e-05	8	7.347790e-03	6.437570e-04	7	6.116130e-03	5.364870e-04	7	false	GAMG	2.927450e-03	1.314760e-05	4	true
90            	smoothSolver	3.374400e-04	2.688170e-05	8	7.296310e-03	6.338800e-04	7	6.088630e-03	5.336990e-04	7	false	GAMG	2.917320e-03	1.251430e-05	4	true
91            	smoothSolver	3.343000e-04	2.634810e-05	8	7.243730e-03	6.227990e-04	7	6.055250e-03	5.273310e-04	7	false	GAMG	2.902180e-03	1.205490e-05	4	true
92            	smoothSolver	3.320310e-04	2.612820e-05	8	7.210820e-03	6.180310e-04	7	6.042300e-03	5.241700e-04	7	false	GAMG	2.869520e-03	1.170860e-05	4	true
93            	smoothSolver	3.300180e-04	2.608060e-05	8	7.148570e-03	6.189270e-04	7	6.024970e-03	5.248090e-04	7	false	GAMG	2.841220e-03	1.164890e-05	4	true
94            	smoothSolver	3.263920e-04	2.574490e-05	8	7.097350e-03	6.197080e-04	7	5.988780e-03	5.255850e-04	7	false	GAMG	2.796100e-03	1.167440e-05	4	true
95            	smoothSolver	3.187990e-04	2.491260e-05	8	6.992140e-03	6.161490e-04	7	5.871700e-03	5.196590e-04	7	false	GAMG	2.756330e-03	1.170200e-05	4	true
96            	smoothSolver	3.112670e-04	2.401630e-05	8	6.857120e-03	6.047360e-04	7	5.742190e-03	5.079270e-04	7	false	GAMG	2.718500e-03	1.147380e-05	4	true
97            	smoothSolver	3.037380e-04	2.339890e-05	8	6.718720e-03	5.917400e-04	7	5.608830e-03	4.930010e-04	7	false	GAMG	2.681480e-03	1.133650e-05	4	true
98            	smoothSolver	2.969480e-04	2.296950e-05	8	6.613750e-03	5.757020e-04	7	5.538740e-03	4.816420e-04	7	false	GAMG	2.646350e-03	1.167780e-05	4	true
99            	smoothSolver	2.912710e-04	2.282070e-05	8	6.527460e-03	5.631450e-04	7	5.507040e-03	4.753220e-04	7	false	GAMG	2.628670e-03	1.220780e-05	4	true
100           	smoothSolver	2.895490e-04	2.260770e-05	8	6.506980e-03	5.601660e-04	7	5.513030e-03	4.714390e-04	7	false	GAMG	2.614160e-03	1.237510e-05	4	true
101           	smoothSolver	2.875500e-04	2.206060e-05	8	6.508810e-03	5.578990e-04	7	5.492070e-03	4.639070e-04	7	false	GAMG	2.615740e-03	1.227260e-05	4	true
102           	smoothSolver	2.865130e-04	2.837850e-05	7	6.492590e-03	5.505110e-04	7	5.449450e-03	4.570820e-04	7	false	GAMG	2.619810e-03	1.184320e-05	4	true
103           	smoothSolver	2.848120e-04	2.749740e-05	7	6.446940e-03	5.365310e-04	7	5.359660e-03	4.434430e-04	7	false	GAMG	2.622140e-03	1.115620e-05	4	true
104           	smoothSolver	2.837840e-04	2.689530e-05	7	6.405640e-03	5.215310e-04	7	5.287550e-03	4.299520e-04	7	false	GAMG	2.624750e-03	1.098180e-05	4	true
105           	smoothSolver	2.816830e-04	2.667140e-05	7	6.355620e-03	5.110370e-04	7	5.243070e-03	4.204600e-04	7	false	GAMG	2.627150e-03	1.149770e-05	4	true
106           	smoothSolver	2.800720e-04	2.646790e-05	7	6.338690e-03	5.032830e-04	7	5.223260e-03	4.179770e-04	7	false	GAMG	2.625430e-03	1.184210e-05	4	true
107           	smoothSolver	2.749100e-04	2.601190e-05	7	6.302110e-03	4.970440e-04	7	5.191380e-03	4.170840e-04	7	false	GAMG	2.622290e-03	1.202080e-05	4	true
108           	smoothSolver	2.687330e-04	2.512830e-05	7	6.223360e-03	4.893030e-04	7	5.114980e-03	4.118980e-04	7	false	GAMG	2.618130e-03	1.178260e-05	4	true
109           	smoothSolver	2.615890e-04	2.420080e-05	7	6.079070e-03	4.796130e-04	7	5.014480e-03	4.002270e-04	7	false	GAMG	2.609770e-03	1.118070e-05	4	true
110           	smoothSolver	2.559680e-04	2.363480e-05	7	5.946170e-03	4.684670e-04	7	4.911060e-03	3.856650e-04	7	false	GAMG	2.577650e-03	1.032300e-05	4	true
111           	smoothSolver	2.505500e-04	2.339590e-05	7	5.789040e-03	4.611750e-04	7	4.817230e-03	3.726980e-04	7	false	GAMG	2.532550e-03	1.008680e-05	4	true
112           	smoothSolver	2.474890e-04	2.355440e-05	7	5.701240e-03	4.621550e-04	7	4.752970e-03	3.668650e-04	7	false	GAMG	2.476300e-03	1.025510e-05	4	true
113           	smoothSolver	2.443710e-04	2.369170e-05	7	5.659300e-03	4.691980e-04	7	4.703500e-03	3.680070e-04	7	false	GAMG	2.428300e-03	1.037610e-05	4	true
114           	smoothSolver	2.416340e-04	2.371570e-05	7	5.627680e-03	4.697440e-04	7	4.650340e-03	3.683620e-04	7	false	GAMG	2.382810e-03	1.018290e-05	4	true
115           	smoothSolver	2.379140e-04	2.364060e-05	7	5.553330e-03	4.651130e-04	7	4.568370e-03	3.658820e-04	7	false	GAMG	2.361680e-03	9.836550e-06	4	true
116           	smoothSolver	2.357650e-04	2.339130e-05	7	5.470630e-03	4.538230e-04	7	4.481030e-03	3.623040e-04	7	false	GAMG	2.334050e-03	9.491880e-06	4	true
117           	smoothSolver	2.329970e-04	2.311690e-05	7	5.376520e-03	4.415480e-04	7	4.399920e-03	3.561680e-04	7	false	GAMG	2.306590e-03	9.294790e-06	4	true
118           	smoothSolver	2.304190e-04	2.296750e-05	7	5.281340e-03	4.314290e-04	7	4.336060e-03	3.510730e-04	7	false	GAMG	2.269930e-03	9.117680e-06	4	true
119           	smoothSolver	2.266100e-04	1.711590e-05	8	5.170720e-03	4.208600e-04	7	4.256390e-03	3.451470e-04	7	false	GAMG	2.239400e-03	9.000650e-06	4	true
